frame,number of objects
3800,"[[4.0, 206.0, 148.0, 359.0, 0.8899011611938477, 0.0], [459.0, 32.0, 528.0, 311.0, 0.8405067324638367, 0.0], [213.0, 199.0, 343.0, 349.0, 0.8103157877922058, 0.0], [186.0, 132.0, 239.0, 188.0, 0.7816645503044128, 0.0], [1.0, 120.0, 45.0, 160.0, 0.6608513593673706, 0.0], [23.0, 119.0, 96.0, 188.0, 0.6012601256370544, 0.0], [86.0, 133.0, 142.0, 199.0, 0.5098739862442017, 0.0], [0.0, 157.0, 38.0, 269.0, 0.48480308055877686, 0.0], [77.0, 132.0, 147.0, 319.0, 0.332566499710083, 0.0]]"
3900,"[[424.0, 34.0, 562.0, 354.0, 0.9199680089950562, 0.0], [3.0, 208.0, 125.0, 360.0, 0.9147937893867493, 0.0], [211.0, 199.0, 346.0, 346.0, 0.8144477605819702, 0.0], [186.0, 133.0, 239.0, 188.0, 0.8095464110374451, 0.0], [1.0, 120.0, 45.0, 160.0, 0.6889167428016663, 0.0], [86.0, 134.0, 139.0, 198.0, 0.6719818115234375, 0.0], [26.0, 119.0, 98.0, 185.0, 0.5788018703460693, 0.0], [0.0, 158.0, 39.0, 266.0, 0.5759020447731018, 0.0]]"
4000,"[[412.0, 28.0, 525.0, 351.0, 0.9195266962051392, 0.0], [0.0, 207.0, 108.0, 358.0, 0.8906996846199036, 0.0], [201.0, 192.0, 322.0, 350.0, 0.81661456823349, 0.0], [181.0, 133.0, 238.0, 186.0, 0.7939245700836182, 0.0], [1.0, 119.0, 45.0, 163.0, 0.711878776550293, 0.0], [15.0, 120.0, 98.0, 207.0, 0.6549186706542969, 0.0], [79.0, 133.0, 143.0, 316.0, 0.5320676565170288, 0.0], [0.0, 176.0, 37.0, 228.0, 0.4413646161556244, 0.0]]"
4100,"[[388.0, 29.0, 536.0, 352.0, 0.9221851229667664, 0.0], [0.0, 207.0, 107.0, 359.0, 0.886867105960846, 0.0], [192.0, 188.0, 311.0, 347.0, 0.7893431782722473, 0.0], [172.0, 132.0, 239.0, 187.0, 0.6804816722869873, 0.0], [64.0, 134.0, 151.0, 314.0, 0.6232259273529053, 0.0], [7.0, 131.0, 99.0, 205.0, 0.49541300535202026, 0.0], [3.0, 131.0, 41.0, 159.0, 0.4670749604701996, 0.0], [0.0, 177.0, 31.0, 223.0, 0.30070704221725464, 0.0], [168.0, 129.0, 239.0, 302.0, 0.27642935514450073, 0.0]]"
4200,"[[438.0, 38.0, 586.0, 357.0, 0.9295119643211365, 0.0], [0.0, 209.0, 102.0, 359.0, 0.8922205567359924, 0.0], [187.0, 188.0, 309.0, 348.0, 0.8216099739074707, 0.0], [185.0, 133.0, 238.0, 185.0, 0.6770936846733093, 0.0], [5.0, 130.0, 43.0, 157.0, 0.5618826150894165, 0.0], [79.0, 135.0, 143.0, 315.0, 0.5467931628227234, 0.0], [16.0, 134.0, 98.0, 200.0, 0.35787099599838257, 0.0], [0.0, 182.0, 35.0, 227.0, 0.3415500819683075, 0.0]]"
4300,"[[508.0, 40.0, 630.0, 358.0, 0.9497156739234924, 0.0], [0.0, 205.0, 96.0, 358.0, 0.8508913516998291, 0.0], [187.0, 190.0, 306.0, 348.0, 0.8045989871025085, 0.0], [81.0, 133.0, 142.0, 306.0, 0.6327753067016602, 0.0], [5.0, 130.0, 50.0, 157.0, 0.5728328227996826, 0.0], [32.0, 115.0, 100.0, 225.0, 0.5248169898986816, 0.0], [187.0, 131.0, 239.0, 185.0, 0.4832373857498169, 0.0]]"
4400,"[[506.0, 39.0, 625.0, 355.0, 0.9499783515930176, 0.0], [0.0, 202.0, 86.0, 359.0, 0.8446245789527893, 0.0], [185.0, 190.0, 298.0, 355.0, 0.7634021639823914, 0.0], [0.0, 129.0, 47.0, 161.0, 0.6415476202964783, 0.0], [71.0, 136.0, 139.0, 316.0, 0.6105747818946838, 0.0], [30.0, 118.0, 94.0, 220.0, 0.5905845165252686, 0.0], [187.0, 132.0, 234.0, 185.0, 0.529527485370636, 0.0]]"
4500,"[[501.0, 47.0, 612.0, 357.0, 0.9473934769630432, 0.0], [0.0, 207.0, 79.0, 359.0, 0.8533902764320374, 0.0], [179.0, 192.0, 294.0, 353.0, 0.7834185361862183, 0.0], [1.0, 128.0, 36.0, 161.0, 0.688380777835846, 0.0], [16.0, 122.0, 81.0, 230.0, 0.5672330856323242, 0.0], [56.0, 137.0, 127.0, 311.0, 0.44383174180984497, 0.0], [155.0, 137.0, 217.0, 190.0, 0.4403267502784729, 0.0], [69.0, 138.0, 123.0, 201.0, 0.3231883645057678, 0.0]]"
4600,"[[399.0, 51.0, 488.0, 321.0, 0.9137629866600037, 0.0], [174.0, 181.0, 340.0, 355.0, 0.7852165699005127, 0.0], [188.0, 136.0, 240.0, 190.0, 0.7496048808097839, 0.0], [2.0, 111.0, 90.0, 360.0, 0.6424940824508667, 0.0], [86.0, 140.0, 140.0, 200.0, 0.6181236505508423, 0.0], [0.0, 92.0, 38.0, 163.0, 0.591860294342041, 0.0], [42.0, 123.0, 135.0, 200.0, 0.25990191102027893, 0.0]]"
4700,"[[98.0, 61.0, 157.0, 226.0, 0.9015132188796997, 0.0], [233.0, 203.0, 351.0, 360.0, 0.8415353894233704, 0.0], [253.0, 115.0, 296.0, 156.0, 0.7660477757453918, 0.0], [211.0, 122.0, 285.0, 224.0, 0.7597215175628662, 0.0], [440.0, 197.0, 565.0, 356.0, 0.7193140387535095, 0.0], [286.0, 118.0, 349.0, 206.0, 0.6605804562568665, 0.0], [423.0, 135.0, 480.0, 190.0, 0.6215143203735352, 0.0], [35.0, 120.0, 77.0, 162.0, 0.5773462057113647, 0.0], [0.0, 127.0, 53.0, 215.0, 0.5231459736824036, 0.0], [324.0, 136.0, 392.0, 306.0, 0.5150023102760315, 0.0], [176.0, 121.0, 225.0, 234.0, 0.427527517080307, 0.0], [178.0, 122.0, 225.0, 164.0, 0.32900577783584595, 0.0], [35.0, 122.0, 85.0, 234.0, 0.25414562225341797, 0.0]]"
